[04:16:50.601] Solucion #1: A1; B3; C6; D8; E10; F5; G9; H2; I4; J7; 
[04:16:51.883] Solucion #581: A8; B5; C1; D4; E9; F7; G3; H10; I6; J2; 
[04:16:51.883] Solucion #582: A8; B5; C1; D6; E9; F2; G4; H7; I3; J10; 
[04:16:51.883] Solucion #583: A8; B5; C1; D6; E9; F2; G4; H7; I10; J3; 
[04:16:51.883] Solucion #584: A8; B5; C2; D4; E7; F10; G3; H9; I6; J1; 
[04:16:51.883] Solucion #585: A8; B5; C2; D4; E9; F7; G3; H10; I6; J1; 
[04:16:51.883] Solucion #586: A8; B5; C2; D4; E10; F7; G9; H6; I3; J1; 
[04:16:51.883] Solucion #587: A8; B5; C2; D6; E3; F10; G7; H9; I4; J1; 
[04:16:51.883] Solucion #588: A8; B5; C2; D9; E3; F10; G7; H4; I6; J1; 
[04:16:51.883] Solucion #589: A8; B5; C2; D9; E7; F4; G1; H3; I6; J10; 
[04:16:51.883] Solucion #590: A8; B5; C2; D9; E7; F4; G1; H3; I10; J6; 
[04:16:51.883] Solucion #591: A8; B5; C2; D10; E1; F6; G4; H9; I7; J3; 
[04:16:51.883] Solucion #592: A8; B5; C2; D10; E3; F7; G9; H4; I6; J1; 
[04:16:51.883] Solucion #593: A8; B5; C2; D10; E7; F4; G1; H3; I9; J6; 
[04:16:51.883] Solucion #594: A8; B5; C2; D10; E7; F4; G1; H9; I6; J3; 
[04:16:51.883] Solucion #595: A8; B5; C3; D1; E7; F10; G6; H9; I2; J4; 
[04:16:51.883] Solucion #596: A8; B5; C3; D1; E10; F2; G6; H9; I7; J4; 
[04:16:51.883] Solucion #597: A8; B5; C3; D6; E10; F7; G1; H4; I2; J9; 
[04:16:51.883] Solucion #598: A8; B5; C3; D10; E7; F4; G1; H9; I2; J6; 
[04:16:51.883] Solucion #599: A8; B5; C7; D1; E10; F2; G6; H3; I9; J4; 
[04:16:51.883] Solucion #600: A8; B5; C9; D1; E10; F2; G6; H3; I7; J4; 
[04:16:51.893] Solucion #601: A8; B6; C1; D3; E7; F9; G4; H2; I5; J10; 
[04:16:51.893] Solucion #602: A8; B6; C2; D7; E1; F4; G9; H5; I3; J10; 
[04:16:51.893] Solucion #603: A8; B6; C2; D7; E5; F1; G9; H4; I10; J3; 
[04:16:51.893] Solucion #604: A8; B6; C2; D7; E10; F1; G3; H5; I9; J4; 
[04:16:51.893] Solucion #605: A8; B6; C2; D9; E1; F4; G7; H10; I3; J5; 
[04:16:51.893] Solucion #606: A8; B6; C2; D10; E5; F1; G4; H9; I7; J3; 
[04:16:51.903] Solucion #607: A8; B6; C3; D9; E2; F4; G10; H7; I5; J1; 
[04:16:51.903] Solucion #608: A8; B6; C3; D10; E2; F7; G9; H4; I1; J5; 
[04:16:51.903] Solucion #609: A8; B6; C4; D1; E7; F5; G10; H2; I9; J3; 
[04:16:51.903] Solucion #610: A8; B6; C9; D2; E5; F1; G4; H7; I10; J3; 
[04:16:51.903] Solucion #611: A8; B6; C9; D3; E1; F4; G7; H10; I2; J5; 
[04:16:51.913] Solucion #612: A8; B10; C5; D2; E6; F1; G3; H7; I9; J4; 
[04:16:51.913] Solucion #613: A9; B1; C3; D8; E6; F2; G10; H5; I7; J4; 
[04:16:51.923] Solucion #614: A9; B1; C4; D7; E10; F8; G2; H5; I3; J6; 
[04:16:51.923] Solucion #615: A9; B1; C8; D4; E2; F7; G10; H6; I3; J5; 
[04:16:51.923] Solucion #616: A9; B2; C4; D1; E7; F10; G6; H3; I5; J8; 
[04:16:51.923] Solucion #617: A9; B2; C4; D8; E1; F3; G6; H10; I7; J5; 
[04:16:51.923] Solucion #618: A9; B2; C5; D3; E1; F10; G8; H6; I4; J7; 
[04:16:51.923] Solucion #619: A9; B2; C5; D8; E1; F7; G10; H3; I6; J4; 
[04:16:51.933] Solucion #620: A9; B2; C5; D10; E8; F1; G4; H7; I3; J6; 
[04:16:51.933] Solucion #621: A9; B2; C6; D1; E10; F7; G5; H3; I8; J4; 
[04:16:51.933] Solucion #622: A9; B2; C8; D1; E4; F7; G10; H6; I3; J5; 
[04:16:51.933] Solucion #623: A9; B2; C8; D3; E1; F7; G5; H10; I6; J4; 
[04:16:51.933] Solucion #624: A9; B2; C10; D3; E6; F8; G1; H4; I7; J5; 
[04:16:51.933] Solucion #625: A9; B3; C1; D7; E10; F6; G2; H5; I8; J4; 
[04:16:51.933] Solucion #626: A9; B3; C1; D8; E2; F5; G7; H10; I4; J6; 
[04:16:51.933] Solucion #627: A9; B3; C5; D2; E8; F10; G7; H4; I6; J1; 
[04:16:51.933] Solucion #628: A9; B3; C6; D2; E10; F5; G1; H8; I4; J7; 
[04:16:51.943] Solucion #629: A9; B3; C8; D2; E4; F6; G1; H10; I5; J7; 
[04:16:51.943] Solucion #630: A9; B4; C1; D5; E8; F10; G7; H3; I6; J2; 
[04:16:51.943] Solucion #631: A9; B4; C1; D5; E10; F2; G6; H8; I3; J7; 
[04:16:51.943] Solucion #632: A9; B4; C1; D7; E10; F3; G6; H8; I5; J2; 
[04:16:51.943] Solucion #633: A9; B4; C2; D8; E3; F1; G7; H5; I10; J6; 
[04:16:51.943] Solucion #634: A9; B4; C6; D3; E10; F7; G1; H8; I5; J2; 
[04:16:51.943] Solucion #635: A9; B4; C6; D8; E2; F7; G1; H3; I5; J10; 
[04:16:51.953] Solucion #636: A9; B5; C1; D8; E4; F2; G7; H10; I6; J3; 
[04:16:51.953] Solucion #637: A9; B5; C2; D4; E1; F10; G8; H6; I3; J7; 
[04:16:51.953] Solucion #638: A9; B5; C2; D10; E3; F6; G8; H1; I4; J7; 
[04:16:51.953] Solucion #639: A9; B5; C3; D8; E4; F7; G1; H10; I2; J6; 
[04:16:51.953] Solucion #640: A9; B5; C3; D8; E10; F2; G6; H1; I7; J4; 
[04:16:51.953] Solucion #641: A9; B5; C8; D1; E3; F6; G2; H7; I10; J4; 
[04:16:51.953] Solucion #642: A9; B5; C8; D4; E1; F3; G6; H10; I7; J2; 
[04:16:51.953] Solucion #643: A9; B5; C8; D4; E1; F10; G2; H6; I3; J7; 
[04:16:51.963] Solucion #644: A9; B6; C1; D3; E10; F7; G4; H8; I5; J2; 
[04:16:51.963] Solucion #645: A9; B6; C2; D7; E1; F3; G5; H8; I10; J4; 
[04:16:51.963] Solucion #646: A9; B6; C2; D10; E1; F7; G4; H8; I3; J5; 
[04:16:51.963] Solucion #647: A9; B6; C3; D1; E8; F5; G2; H10; I7; J4; 
[04:16:51.963] Solucion #648: A9; B6; C3; D5; E2; F8; G10; H4; I7; J1; 
[04:16:51.963] Solucion #649: A9; B6; C3; D5; E2; F8; G10; H7; I4; J1; 
[04:16:51.963] Solucion #650: A9; B6; C3; D5; E8; F1; G4; H10; I7; J2; 
[04:16:51.963] Solucion #651: A9; B6; C3; D7; E4; F1; G8; H10; I5; J2; 
[04:16:51.963] Solucion #652: A9; B6; C3; D10; E4; F1; G8; H5; I7; J2; 
[04:16:51.963] Solucion #653: A9; B6; C4; D2; E7; F3; G10; H8; I5; J1; 
[04:16:51.963] Solucion #654: A9; B6; C4; D7; E1; F8; G2; H5; I3; J10; 
[04:16:51.963] Solucion #655: A9; B6; C4; D10; E1; F5; G2; H8; I3; J7; 
[04:16:51.973] Solucion #656: A9; B7; C1; D4; E2; F5; G8; H10; I3; J6; 
[04:16:51.973] Solucion #657: A9; B7; C2; D4; E6; F1; G10; H5; I3; J8; 
[04:16:51.973] Solucion #658: A9; B7; C3; D1; E6; F2; G5; H10; I8; J4; 
[04:16:51.973] Solucion #659: A9; B7; C3; D8; E2; F5; G1; H10; I4; J6; 
[04:16:51.973] Solucion #660: A9; B7; C5; D3; E1; F10; G8; H6; I4; J2; 
[04:16:51.973] Solucion #661: A10; B1; C4; D6; E3; F9; G2; H8; I5; J7; 
[04:16:51.983] Solucion #662: A10; B1; C6; D4; E2; F8; G3; H9; I7; J5; 
[04:16:51.983] Solucion #663: A10; B2; C4; D8; E3; F9; G6; H1; I5; J7; 
[04:16:51.983] Solucion #664: A10; B2; C4; D9; E7; F3; G1; H6; I8; J5; 
[04:16:51.983] Solucion #665: A10; B2; C5; D8; E1; F3; G6; H9; I7; J4; 
[04:16:51.983] Solucion #666: A10; B2; C5; D9; E4; F1; G8; H6; I3; J7; 
[04:16:51.983] Solucion #667: A10; B2; C6; D1; E3; F7; G9; H4; I8; J5; 
[04:16:51.993] Solucion #668: A10; B3; C1; D4; E7; F9; G2; H5; I8; J6; 
[04:16:51.993] Solucion #669: A10; B3; C5; D2; E8; F1; G7; H4; I6; J9; 
[04:16:51.993] Solucion #670: A10; B3; C5; D8; E2; F9; G6; H1; I7; J4; 
[04:16:51.993] Solucion #671: A10; B3; C5; D8; E2; F9; G7; H1; I4; J6; 
[04:16:51.993] Solucion #672: A10; B3; C5; D9; E2; F4; G7; H1; I8; J6; 
[04:16:51.993] Solucion #673: A10; B3; C5; D9; E4; F1; G7; H2; I6; J8; 
[04:16:51.993] Solucion #674: A10; B3; C6; D9; E2; F8; G1; H4; I7; J5; 
[04:16:51.993] Solucion #675: A10; B3; C7; D2; E4; F8; G1; H5; I9; J6; 
[04:16:51.993] Solucion #676: A10; B3; C7; D4; E2; F9; G5; H1; I8; J6; 
[04:16:51.993] Solucion #677: A10; B3; C7; D4; E2; F9; G6; H1; I5; J8; 
[04:16:51.993] Solucion #678: A10; B3; C9; D2; E5; F8; G1; H7; I4; J6; 
[04:16:51.993] Solucion #679: A10; B3; C9; D4; E1; F8; G6; H2; I7; J5; 
[04:16:52.003] Solucion #680: A10; B3; C9; D4; E2; F8; G6; H1; I7; J5; 
[04:16:52.003] Solucion #681: A10; B4; C1; D5; E9; F2; G6; H8; I3; J7; 
[04:16:52.003] Solucion #682: A10; B4; C2; D5; E8; F1; G3; H6; I9; J7; 
[04:16:52.003] Solucion #683: A10; B4; C2; D8; E3; F9; G7; H5; I1; J6; 
[04:16:52.003] Solucion #684: A10; B4; C2; D9; E3; F6; G8; H1; I5; J7; 
[04:16:52.003] Solucion #685: A10; B4; C2; D9; E5; F1; G8; H6; I3; J7; 
[04:16:52.003] Solucion #686: A10; B4; C6; D3; E9; F2; G5; H8; I1; J7; 
[04:16:52.003] Solucion #687: A10; B4; C6; D9; E3; F1; G8; H2; I5; J7; 
[04:16:52.003] Solucion #688: A10; B4; C7; D1; E3; F9; G6; H8; I5; J2; 
[04:16:52.003] Solucion #689: A10; B4; C7; D5; E2; F9; G1; H6; I8; J3; 
[04:16:52.003] Solucion #690: A10; B4; C9; D5; E3; F1; G7; H2; I8; J6; 
[04:16:52.003] Solucion #691: A10; B5; C1; D8; E4; F2; G7; H9; I6; J3; 
[04:16:52.003] Solucion #692: A10; B5; C2; D4; E9; F7; G3; H1; I6; J8; 
[04:16:52.003] Solucion #693: A10; B5; C2; D6; E1; F3; G7; H9; I4; J8; 
[04:16:52.013] Solucion #694: A10; B5; C2; D8; E1; F4; G7; H9; I6; J3; 
[04:16:52.013] Solucion #695: A10; B5; C2; D8; E3; F7; G9; H1; I6; J4; 
[04:16:52.013] Solucion #696: A10; B5; C3; D1; E7; F2; G8; H6; I4; J9; 
[04:16:52.013] Solucion #697: A10; B5; C3; D6; E9; F2; G8; H1; I4; J7; 
[04:16:52.013] Solucion #698: A10; B5; C3; D8; E4; F2; G9; H6; I1; J7; 
[04:16:52.013] Solucion #699: A10; B5; C3; D9; E4; F2; G8; H6; I1; J7; 
[04:16:52.013] Solucion #700: A10; B5; C7; D1; E4; F2; G8; H6; I9; J3; 
[04:16:52.013] Solucion #701: A10; B5; C7; D2; E4; F8; G1; H9; I6; J3; 
[04:16:52.013] Solucion #702: A10; B5; C7; D4; E1; F3; G9; H6; I8; J2; 
[04:16:52.013] Solucion #703: A10; B5; C7; D4; E1; F8; G2; H9; I6; J3; 
[04:16:52.013] Solucion #704: A10; B6; C1; D5; E2; F9; G7; H4; I8; J3; 
[04:16:52.013] Solucion #705: A10; B6; C3; D1; E4; F7; G9; H2; I5; J8; 
[04:16:52.013] Solucion #706: A10; B6; C3; D1; E8; F4; G9; H7; I5; J2; 
[04:16:52.023] Solucion #707: A10; B6; C3; D9; E4; F1; G8; H2; I5; J7; 
[04:16:52.023] Solucion #708: A10; B6; C4; D1; E7; F9; G2; H8; I5; J3; 
[04:16:52.023] Solucion #709: A10; B6; C4; D9; E1; F3; G7; H2; I8; J5; 
[04:16:52.023] Solucion #710: A10; B7; C1; D4; E2; F8; G6; H9; I3; J5; 
[04:16:52.023] Solucion #711: A10; B7; C2; D4; E1; F8; G5; H9; I6; J3; 
[04:16:52.023] Solucion #712: A10; B7; C2; D4; E9; F1; G8; H5; I3; J6; 
[04:16:52.023] Solucion #713: A10; B7; C2; D6; E3; F1; G8; H5; I9; J4; 
[04:16:52.023] Solucion #714: A10; B7; C4; D1; E3; F6; G9; H2; I8; J5; 
[04:16:52.023] Solucion #715: A10; B7; C4; D1; E3; F8; G6; H2; I9; J5; 
[04:16:52.023] Solucion #716: A10; B7; C4; D1; E3; F9; G6; H8; I5; J2; 
[04:16:52.023] Solucion #717: A10; B7; C4; D1; E5; F2; G9; H6; I8; J3; 
[04:16:52.023] Solucion #718: A10; B7; C4; D1; E8; F2; G9; H6; I3; J5; 
[04:16:52.023] Solucion #719: A10; B7; C4; D1; E9; F2; G6; H8; I3; J5; 
[04:16:52.033] Solucion #720: A10; B7; C5; D2; E8; F1; G3; H9; I6; J4; 
[04:16:52.033] Solucion #721: A10; B8; C2; D4; E1; F7; G9; H6; I3; J5; 
[04:16:52.033] Solucion #722: A10; B8; C5; D2; E4; F1; G7; H9; I3; J6; 
[04:16:52.033] Solucion #723: A10; B8; C5; D2; E4; F1; G7; H9; I6; J3; 
[04:16:52.033] Solucion #724: A10; B8; C5; D3; E1; F6; G2; H9; I7; J4; 
